snapshot_index,snapshot_number,snapshot_file,time_gyr,center_mode,velocity_mode,member_mode,x_sat_kpc,y_sat_kpc,z_sat_kpc,vx_sat_kms,vy_sat_kms,vz_sat_kms,R_host_kpc,V_3d_kms,V_rad_kms,V_tan_kms,L_kpc_kms,r_tidal_kpc,rhalf_star_all_kpc,r90_star_all_kpc,rhalf_star_member_kpc,r90_star_member_kpc,Nstar_tracked,Nstar_inner_ids_found,Nstar_member,Nstar_inside_rt,Nstar_stripped_candidate,Nstar_stripped_definitive,fstar_member,fstar_stripped_candidate,fstar_stripped_definitive,Mstar_tracked_msun,Mstar_inside_rt_msun,Mstar_member_msun,Mstar_not_definitively_stripped_msun,Mgas_tracked_msun,Mdm_tracked_msun,median_rstar_over_rt,p90_rstar_over_rt,median_vrel_over_vesc,N_center_source,N_center_final,N_velocity_source,offset_all_stars_com_from_center_kpc,offset_inner_ids_com_from_center_kpc,x_all_stars_com_kpc,y_all_stars_com_kpc,z_all_stars_com_kpc
10,10,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_010.hdf5,1.9574941924316405,inner_ids_shrinking,inner_ids,tidal_kinematic,-26.311421869358327,-162.0599726242123,0.7675231206462753,44.780490548454054,-85.08485452453948,0.23037365997250223,164.1837834242119,96.14976794171392,76.8089720601206,57.83735545746409,9495.955842257443,31.514604599487512,1.2283206980721169,6.885368855118219,1.3851269943176316,6.0630125695559345,7584,3792,6313,7303,248,241,0.8324103375527426,0.03270042194092827,0.03177742616033755,497386913.63018006,478957889.00859773,414030008.669215,481581237.7091788,1728155237.8699415,33759174542.465187,0.0390005181898499,0.21845992741420506,0.7602712688251112,3792,522,3792,1.5507103363506658,0.014833084100340425,-26.96096045809697,-160.6528876897826,0.7135401945936741
11,11,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_011.hdf5,2.148469235595703,inner_ids_shrinking,inner_ids,tidal_kinematic,-16.95953839983259,-176.59430681501115,0.958568407467434,50.97181821992761,-63.64236654100541,1.2217091335399268,177.4093965820342,81.54734603156626,58.48389311186461,56.82960400418079,10082.105754377666,33.39634915374964,1.1793708743673041,6.66741282357313,1.379789001217364,5.959257520127211,7584,3792,6198,7304,256,248,0.817246835443038,0.03375527426160337,0.03270042194092827,497386913.63018006,479023472.72611225,406487881.1550443,481122151.6865771,1573233815.624917,33759174542.465187,0.03531896816660532,0.19963082465858964,0.7892567346750716,3792,525,3792,1.824710537368598,0.058731294132373095,-17.903106114023434,-175.03502896330605,0.8696803030744646
12,12,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_012.hdf5,2.3489930309179687,inner_ids_shrinking,inner_ids,tidal_kinematic,-6.973206513818165,-187.82344599110104,1.1258599677631607,47.44251842649114,-46.22919890455777,0.021974707962962876,187.95621839599616,66.24146638543645,44.43654898390125,49.125604151951684,9233.462782819484,34.903074742211196,1.1869322464953038,6.81523703054639,1.378064273325794,6.046289870322882,7584,3792,6247,7306,262,256,0.823707805907173,0.034546413502109706,0.03375527426160337,497386913.63018006,479154640.1611413,409701483.31325614,480597481.9464609,1432367553.070435,33759174542.465187,0.034011458381014194,0.19525317545501766,0.7825400755805292,3792,533,3792,1.9995646019632471,0.010208679842620472,-8.10536803302066,-186.17833500854306,1.0254670052177068
13,13,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_013.hdf5,2.539968074082031,inner_ids_shrinking,inner_ids,tidal_kinematic,2.7584851775419454,-194.97823202674687,1.3121543441499985,45.03159107288587,-29.563731329661234,0.22428195309967142,195.00215884387927,53.8693670566352,30.19862636762132,44.60887437036828,8698.82680581721,35.91054042467886,1.1544298333936645,6.674093094861768,1.3365055546457492,6.005227747222509,7584,3792,6156,7307,265,262,0.8117088607594937,0.034941983122362866,0.034546413502109706,497386913.63018006,479220223.8786558,403733365.0194341,480203979.64137375,1326114742.8238473,33759174542.465187,0.03215194023572909,0.18577913833990264,0.801116883055341,3792,553,3792,2.0309408288215445,0.029577588920762704,1.4765581179784495,-193.40651840613657,1.206798001572516
14,14,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_014.hdf5,2.7404918694042966,inner_ids_shrinking,inner_ids,tidal_kinematic,12.832711689212779,-198.94736756108995,1.4793573895884307,50.493248240083815,-13.40603698198567,0.3608085620958424,199.36630118220083,52.24385253994556,16.630668317871613,49.52616479717077,9873.84828735206,36.520959356550065,1.1393936252038377,6.71531781795311,1.3656385002854585,5.984114660285705,7584,3792,6146,7308,267,265,0.8103902953586498,0.035205696202531646,0.034941983122362866,497386913.63018006,479285807.5961703,403077527.8442888,480007228.48883015,1231714418.0178728,33759174542.465187,0.03120013422272258,0.18381290877522743,0.8004715366275401,3792,579,3792,1.9297093410251858,0.04418312131809059,11.43617727312322,-197.61807321837196,1.3990684368289807
15,15,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_015.hdf5,2.9314669125683595,inner_ids_shrinking,inner_ids,tidal_kinematic,22.245959739618495,-199.64993214232766,1.5902757168232247,45.9304616726786,5.248456341093637,0.13950521225858262,200.89177958798683,46.22956916448618,-0.12875041208971924,46.22938987771089,9287.104401800205,36.727775878832304,1.1497366131907634,6.530039547290232,1.3883650763937532,6.016407287335006,7584,3792,6045,7308,268,267,0.7970727848101266,0.03533755274261603,0.035205696202531646,497386913.63018006,479285807.5961703,396453572.37532157,479876061.0538011,1161753288.4611137,33759174542.465187,0.03130973400657686,0.17779193446610336,0.824410472410863,3792,573,3792,1.9274017436114637,0.06317301931702445,20.596650323178224,-198.65575187640297,1.5111458933437794
16,16,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_016.hdf5,3.131990707890625,inner_ids_shrinking,inner_ids,tidal_kinematic,31.74872922649414,-196.773419755377,1.6397025847558968,44.37079074094971,19.097309736762828,0.7335879231463213,199.32498376844157,48.311618285873955,-11.779375639857168,46.853588666559254,9339.090800455162,36.46164817167583,1.1449988151079922,6.712066633868743,1.4097516664410537,6.076897332947845,7584,3792,6055,7310,269,268,0.7983913502109705,0.03546940928270042,0.03533755274261603,497386913.63018006,479416975.0311994,397109409.5504668,479810477.33628654,1097351288.963182,33759174542.465187,0.031420605454985095,0.1839595755405538,0.8135761445147,3792,577,3792,1.9247147551737631,0.05858036595435063,29.868814182459957,-196.36974257318704,1.5531517408737239
17,17,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_017.hdf5,3.3229657510546873,inner_ids_shrinking,inner_ids,tidal_kinematic,40.32480573400987,-191.05432282844475,1.657668938467988,41.80178520029014,37.18672216829172,0.9429606737908877,195.2705612611148,55.95650745342521,-27.743414075983654,48.594585107743676,9489.091908240116,35.815013156092036,1.1379821549957332,6.8258976450503575,1.4249019616247818,6.0993603198140836,7584,3792,5967,7310,270,269,0.7867879746835443,0.03560126582278481,0.03546940928270042,497386913.63018006,479416975.0311994,391338042.40918833,479744893.61877203,1045955556.6558264,33759174542.465187,0.03177784848328706,0.19049152523002183,0.8310813525710296,3792,565,3792,2.247065811293547,0.056071593853454046,38.08910330447242,-191.2658198405374,1.5788754062427393
18,18,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_018.hdf5,3.523489546376953,inner_ids_shrinking,inner_ids,tidal_kinematic,48.44544024328427,-181.40446616118805,1.727887387954555,41.08823557158362,56.32252859371453,-2.22933752922181,187.76987675986985,69.75270801477845,-43.83276358023975,54.25982963771399,10188.361524085087,34.61375268629211,1.136188797027933,6.686864292598497,1.421296577860346,6.108415644099083,7584,3792,5944,7310,270,270,0.7837552742616034,0.03560126582278481,0.03560126582278481,497386913.63018006,479416975.0311994,389829616.9063542,479679309.9012575,999174951.1573288,33759174542.465187,0.03283584082283336,0.19317030641748467,0.8390412670274022,3792,583,3792,2.6141624545129423,0.06775071220692609,46.06867183157023,-182.4894514402718,1.6405707238233223
19,19,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_019.hdf5,3.7144645895410155,inner_ids_shrinking,inner_ids,tidal_kinematic,55.33323825762698,-168.86016035998549,1.7624373168744882,32.321108644922504,74.87686899584938,-1.3586343352854204,177.70376247612552,81.56620293917996,-61.099905016382706,54.03560926744975,9602.331074515621,33.00969446666116,1.131669682828421,6.884129153899879,1.3706619523925616,6.169473590321594,7584,3792,5969,7307,272,270,0.787051687763713,0.035864978902953586,0.03560126582278481,497386913.63018006,479220223.8786558,391469209.8442174,479679309.9012575,959946371.6585889,33759174542.465187,0.03429221824329007,0.20848989102954396,0.8344144266819329,3792,571,3792,3.144233090840283,0.07813981836442545,52.82830262783029,-170.75957457571533,1.7014057087237797
20,20,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_020.hdf5,3.914988384863281,inner_ids_shrinking,inner_ids,tidal_kinematic,61.28149753448383,-151.70204732765927,1.7881290460820705,25.74416065445848,93.0432358704557,1.3522513535004923,163.62191329084794,96.54861020631455,-76.60826353778621,58.76059981395664,9614.521767677428,30.783974689993457,1.096444378270315,6.744806188272007,1.3876832641057997,6.148657378499618,7584,3792,5875,7303,272,272,0.7746571729957806,0.035864978902953586,0.035864978902953586,497386913.63018006,478957889.00859773,385304340.39785177,479548142.4662285,924493805.1597275,33759174542.465187,0.035618265403735194,0.21909863693732212,0.8489042908379442,3792,562,3792,3.884781034388162,0.0614739006672448,58.69900268072254,-154.60177424610828,1.6705373207751961
21,21,../SIMULATIONS/ORBIT/HigherRes/E_mid_L_mid/output/snapshot_021.hdf5,4.105963428027343,inner_ids_shrinking,inner_ids,tidal_kinematic,65.13275811506468,-131.01115558916655,1.7000560660625723,15.229902334243585,120.23416922538554,2.1980200875034726,146.3184515333322,121.2148368259196,-100.85067873974977,67.24713573429057,9839.496770693206,28.043067463262513,1.1423688867456607,6.841710299932603,1.3811553835226675,6.166052647104763,7584,3792,5947,7297,275,272,0.7841508438818565,0.03626054852320675,0.035864978902953586,497386913.63018006,478564386.7035105,390026368.05889773,479548142.4662285,898271492.6605695,33759174542.465187,0.04073699659544121,0.2439511595222839,0.8404078608723959,3792,561,3792,4.695466613952642,0.06258158119830722,62.55276952983158,-134.93175598399924,1.5587826897718444
